node->getNodeTime(),      generateToRecv_Delay,      sendToRecv_Delay,      ccnMsg->msg_chunk_num
843851328,      15701000,      20000,      23,  0
858790294,      15701000,      20000,      24,  0
895044796,      15701000,      20000,      25,  0
915705026,      15701000,      20000,      26,  0
968976693,      15701000,      20000,      27,  0
983654777,      15701000,      20000,      28,  0
1016718602,      15701000,      20000,      29,  0
1039531041,      15701000,      20000,      30,  0
1093362202,      15701000,      20000,      31,  0
1117500825,      15701000,      20000,      32,  0
1147578360,      16568866,      20000,      33,  0
1182336146,      15701000,      20000,      34,  0
1219504000,      16352202,      20000,      35,  0
1252033080,      16754854,      20000,      36,  0
1306763280,      16317621,      20000,      37,  0
1331108846,      15701000,      20000,      38,  0
1372705240,      15717584,      20000,      39,  0
1416505540,      15701000,      20000,      40,  0
1452300880,      19254657,      20000,      41,  0
1500072760,      16606262,      20000,      42,  0
1521544890,      15701000,      20000,      43,  0
1549593717,      15701000,      20000,      44,  0
1605959913,      15701000,      20000,      45,  0
1648349157,      15701000,      20000,      46,  0
1680565396,      15701000,      20000,      47,  0
1710860357,      15701000,      20000,      48,  0
1754507046,      15701000,      20000,      49,  0
1788729009,      15701000,      20000,      50,  0
1844804799,      15701000,      20000,      51,  0
1863383474,      15701000,      20000,      52,  0
1905014759,      15701000,      20000,      53,  0
1945642306,      15701000,      20000,      54,  0
1994044324,      15701000,      20000,      55,  0
2026609732,      15701000,      20000,      56,  0
2047051278,      15701000,      20000,      57,  0
2084728330,      15701000,      20000,      58,  0
2104332373,      15701000,      20000,      59,  0
2120838613,      15707083,      20000,      60,  0
2155659676,      15701000,      20000,      61,  0
2213347273,      15701000,      20000,      62,  0
2257004544,      15701000,      20000,      63,  0
2303713839,      15701000,      20000,      64,  0
2329137011,      15701000,      20000,      65,  0
2368124313,      15701000,      20000,      66,  0
2386923964,      15701000,      20000,      67,  0
2404466151,      15701000,      20000,      68,  0
2423812993,      15701000,      20000,      69,  0
2438975025,      15701000,      20000,      70,  0
2453109192,      15701000,      20000,      71,  0
2473021753,      15701000,      20000,      72,  0
2521974877,      15701000,      20000,      73,  0
2564329530,      15701000,      20000,      74,  0
2605885023,      15701000,      20000,      75,  0
2621932430,      15701000,      20000,      76,  0
2657916644,      15701000,      20000,      77,  0
2672862670,      15701000,      20000,      78,  0
2706100234,      15701000,      20000,      79,  0
2744565680,      15701000,      20000,      80,  0
2758672261,      15701000,      20000,      81,  0
2817205080,      15834120,      20000,      82,  0
2870330687,      15701000,      20000,      83,  0
