node->getNodeTime(),      generateToRecv_Delay,      sendToRecv_Delay,      ccnMsg->msg_chunk_num
840844248,      12693920,      20001,      23,  0
855783214,      12693920,      20001,      24,  0
892037716,      12693920,      20001,      25,  0
912697946,      12693920,      20001,      26,  0
965969613,      12693920,      20001,      27,  0
980653457,      12699680,      20001,      28,  0
1013711522,      12693920,      20001,      29,  0
1036523961,      12693920,      20001,      30,  0
1090355122,      12693920,      20001,      31,  0
1114493745,      12693920,      20001,      32,  0
1144571280,      13561786,      20001,      33,  0
1216399000,      13247202,      20001,      35,  0
1248892320,      13614094,      20001,      36,  0
1304504840,      14059181,      20001,      37,  0
1328101766,      12693920,      20001,      38,  0
1369681576,      12693920,      20001,      39,  0
1413498460,      12693920,      20001,      40,  0
1448985000,      15938777,      20001,      41,  0
1496726800,      13260302,      20001,      42,  0
1518537810,      12693920,      20001,      43,  0
1546586637,      12693920,      20001,      44,  0
1602952833,      12693920,      20001,      45,  0
1645342077,      12693920,      20001,      46,  0
1677558316,      12693920,      20001,      47,  0
1707853277,      12693920,      20001,      48,  0
1751499966,      12693920,      20001,      49,  0
1785721929,      12693920,      20001,      50,  0
1841797719,      12693920,      20001,      51,  0
1860376394,      12693920,      20001,      52,  0
1902007679,      12693920,      20001,      53,  0
1942635226,      12693920,      20001,      54,  0
1991037244,      12693920,      20001,      55,  0
2023602652,      12693920,      20001,      56,  0
2044044198,      12693920,      20001,      57,  0
2081721250,      12693920,      20001,      58,  0
2101325293,      12693920,      20001,      59,  0
2117831533,      12700003,      20001,      60,  0
2152652596,      12693920,      20001,      61,  0
2210340193,      12693920,      20001,      62,  0
2253997464,      12693920,      20001,      63,  0
2300706759,      12693920,      20001,      64,  0
2326129931,      12693920,      20001,      65,  0
2365117233,      12693920,      20001,      66,  0
2383916884,      12693920,      20001,      67,  0
2401459071,      12693920,      20001,      68,  0
2420805913,      12693920,      20001,      69,  0
2435967945,      12693920,      20001,      70,  0
2450102112,      12693920,      20001,      71,  0
2470014673,      12693920,      20001,      72,  0
2518967797,      12693920,      20001,      73,  0
2561322450,      12693920,      20001,      74,  0
2602883703,      12699680,      20001,      75,  0
2618931110,      12699680,      20001,      76,  0
2654915324,      12699680,      20001,      77,  0
2669861350,      12699680,      20001,      78,  0
2703098914,      12699680,      20001,      79,  0
2741564360,      12699680,      20001,      80,  0
2755670941,      12699680,      20001,      81,  0
2806170440,      1639535294,      20001,      34,  1
2813937520,      12566560,      20001,      82,  0
2867329367,      12699680,      20001,      83,  0
2925626536,      12699680,      20001,      84,  0
2977978158,      12699680,      20001,      85,  0
2989852588,      12699680,      20001,      86,  0
3029279230,      12699680,      20001,      87,  0
3048580733,      12699680,      20001,      88,  0
3102917339,      12699680,      20001,      89,  0
3131374274,      12699680,      20001,      90,  0
3170125243,      12699680,      20001,      91,  0
3213919983,      12699680,      20001,      92,  0
3250399332,      12699680,      20001,      93,  0
3276296001,      12699680,      20001,      94,  0
3314932091,      12699680,      20001,      95,  0
3361549741,      12699680,      20001,      96,  0
3374895165,      12710240,      20001,      97,  0
3425493509,      12699680,      20001,      98,  0
3477972746,      12699680,      20001,      99,  0
3535411908,      12699680,      20001,      100,  0
3589297183,      12699680,      20001,      101,  0
3632133832,      12699680,      20001,      102,  0
3651474417,      12699680,      20001,      103,  0
3704686102,      12699680,      20001,      104,  0
3746720412,      12699680,      20001,      105,  0
3787809703,      12699680,      20001,      106,  0
3832222667,      12699680,      20001,      107,  0
3859263130,      12699680,      20001,      108,  0
3874407930,      12699680,      20001,      109,  0
3896537157,      12699680,      20001,      110,  0
3932076405,      12699680,      20001,      111,  0
3956839967,      12699680,      20001,      112,  0
4002124194,      12699680,      20001,      113,  0
4035831899,      12699680,      20001,      114,  0
4091630440,      12699680,      20001,      115,  0
4119024764,      12699680,      20001,      116,  0
4151005225,      12699680,      20001,      117,  0
4178800959,      12699680,      20001,      118,  0
4229410085,      12699680,      20001,      119,  0
4272648322,      12699680,      20001,      120,  0
4306844363,      12699680,      20001,      121,  0
4351659959,      12566560,      20001,      122,  0
4392524641,      12699680,      20001,      123,  0
4423545961,      12699680,      20001,      124,  0
4466712274,      12699680,      20001,      125,  0
4494609527,      12699680,      20001,      126,  0
4580566627,      12699680,      20001,      128,  0
4626839910,      12699680,      20001,      129,  0
4681545028,      12699680,      20001,      130,  0
4726183640,      15144043,      20001,      131,  0
4760294919,      12699680,      20001,      132,  0
4784145336,      12699680,      20001,      133,  0
4827922280,      12740868,      20001,      134,  0
4845334440,      13274231,      20001,      135,  0
4883377109,      12693920,      20001,      136,  0
4926317720,      12813008,      20001,      137,  0
4974148960,      12720403,      20001,      138,  0
5001209114,      12699680,      20001,      139,  0
5054751173,      532703901,      20001,      127,  1
5058878562,      12699680,      20001,      140,  0
5109214275,      12699680,      20001,      141,  0
5129687027,      12699680,      20001,      142,  0
5186154545,      12699680,      20001,      143,  0
5233569338,      12699680,      20001,      144,  0
5280521774,      12699680,      20001,      146,  0
5336261129,      12699680,      20001,      147,  0
5388204136,      12693920,      20001,      148,  0
5436969543,      12699680,      20001,      149,  0
5462538859,      12699680,      20001,      150,  0
5516717377,      12699680,      20001,      151,  0
5551670661,      12699680,      20001,      152,  0
5570954656,      12699680,      20001,      153,  0
5623027785,      12699680,      20001,      154,  0
5656370080,      12699680,      20001,      155,  0
5691222143,      12699680,      20001,      156,  0
5711331423,      12699680,      20001,      157,  0
5757002572,      12699680,      20001,      158,  0
5793980143,      555770677,      20001,      145,  1
5796859816,      12699680,      20001,      159,  0
5847697417,      12699680,      20001,      160,  0
5867703271,      12699680,      20001,      161,  0
5902541261,      12566560,      20001,      162,  0
5920812881,      12699680,      20001,      163,  0
5947667864,      12699680,      20001,      164,  0
6001792267,      12699680,      20001,      165,  0
6087425456,      12699680,      20001,      167,  0
6117528420,      12699680,      20001,      168,  0
6157522307,      12566560,      20001,      169,  0
6176400891,      12699680,      20001,      170,  0
6193135882,      12716000,      20001,      171,  0
6221786874,      12699680,      20001,      172,  0
6248949219,      12699680,      20001,      173,  0
6280593970,      12699680,      20001,      174,  0
6319532614,      12693920,      20001,      175,  0
6396441839,      12693920,      20001,      177,  0
6449510428,      12827040,      20001,      178,  0
6485378059,      12827040,      20001,      179,  0
6523107290,      12827040,      20001,      180,  0
6573562042,      12827040,      20001,      181,  0
6586737067,      546867887,      20001,      166,  1
6596656998,      12827040,      20001,      182,  0
6642412700,      12827040,      20001,      183,  0
6700110400,      12832800,      20001,      184,  0
6753718655,      12827040,      20001,      185,  0
6784590667,      12827040,      20001,      186,  0
6832920520,      12881959,      20001,      187,  0
6858266240,      12827040,      20001,      188,  0
6910384026,      12827040,      20001,      189,  0
6924360896,      12827040,      20001,      190,  0
6980319400,      631024064,      20001,      176,  1
6982128639,      12827040,      20001,      191,  0
7003661088,      12827040,      20001,      192,  0
7055762354,      12827040,      20001,      193,  0
7072110084,      12843360,      20001,      194,  0
7097872136,      12827040,      20001,      195,  0
7147353068,      12827040,      20001,      196,  0
7161439535,      12827040,      20001,      197,  0
7194504008,      12827040,      20001,      198,  0
7238517819,      12827040,      20001,      199,  0
7255762698,      12827040,      20001,      200,  0
7294476518,      12827040,      20001,      201,  0
7333957032,      12827040,      20001,      202,  0
7359853248,      12827040,      20001,      203,  0
7393799283,      12827040,      20001,      204,  0
7433965827,      12827040,      20001,      205,  0
7474562020,      12827040,      20001,      206,  0
