node->getNodeTime(),      generateToRecv_Delay,      sendToRecv_Delay,      ccnMsg->msg_chunk_num
840844248,      12693920,      20001,      23,  0
855783214,      12693920,      20001,      24,  0
892037716,      12693920,      20001,      25,  0
912697946,      12693920,      20001,      26,  0
965969613,      12693920,      20001,      27,  0
980653457,      12699680,      20001,      28,  0
1013711522,      12693920,      20001,      29,  0
1036523961,      12693920,      20001,      30,  0
1090355122,      12693920,      20001,      31,  0
1114493745,      12693920,      20001,      32,  0
1146967440,      15957946,      20001,      33,  0
1215845718,      12693920,      20001,      35,  0
1248892320,      13614094,      20001,      36,  0
1303209880,      12764221,      20001,      37,  0
1328101766,      12693920,      20001,      38,  0
1370889120,      13901464,      20001,      39,  0
1413498460,      12693920,      20001,      40,  0
1445740143,      12693920,      20001,      41,  0
1498723600,      15257102,      20001,      42,  0
1518537810,      12693920,      20001,      43,  0
1546586637,      12693920,      20001,      44,  0
1602952833,      12693920,      20001,      45,  0
1645342077,      12693920,      20001,      46,  0
1677558316,      12693920,      20001,      47,  0
1707853277,      12693920,      20001,      48,  0
1751499966,      12693920,      20001,      49,  0
1785721929,      12693920,      20001,      50,  0
1841797719,      12693920,      20001,      51,  0
1860376394,      12693920,      20001,      52,  0
1902007679,      12693920,      20001,      53,  0
1942635226,      12693920,      20001,      54,  0
1991037244,      12693920,      20001,      55,  0
2023602652,      12693920,      20001,      56,  0
2044044198,      12693920,      20001,      57,  0
2081721250,      12693920,      20001,      58,  0
2101325293,      12693920,      20001,      59,  0
2117847853,      12716323,      20001,      60,  0
2152652596,      12693920,      20001,      61,  0
2210340193,      12693920,      20001,      62,  0
2253997464,      12693920,      20001,      63,  0
2300706759,      12693920,      20001,      64,  0
2326129931,      12693920,      20001,      65,  0
2365117233,      12693920,      20001,      66,  0
2383916884,      12693920,      20001,      67,  0
2401459071,      12693920,      20001,      68,  0
2420805913,      12693920,      20001,      69,  0
2435967945,      12693920,      20001,      70,  0
2450102112,      12693920,      20001,      71,  0
2470014673,      12693920,      20001,      72,  0
2518967797,      12693920,      20001,      73,  0
2561322450,      12693920,      20001,      74,  0
2602877943,      12693920,      20001,      75,  0
2618925350,      12693920,      20001,      76,  0
2654909564,      12693920,      20001,      77,  0
2669855590,      12693920,      20001,      78,  0
2703093154,      12693920,      20001,      79,  0
2741558600,      12693920,      20001,      80,  0
2755665181,      12693920,      20001,      81,  0
2806170440,      1639535294,      20001,      34,  1
2813931760,      12560800,      20001,      82,  0
2867323607,      12693920,      20001,      83,  0
2925620776,      12693920,      20001,      84,  0
2977972398,      12693920,      20001,      85,  0
2989846828,      12693920,      20001,      86,  0
3029273470,      12693920,      20001,      87,  0
3048574973,      12693920,      20001,      88,  0
3102911579,      12693920,      20001,      89,  0
3131368514,      12693920,      20001,      90,  0
3170119483,      12693920,      20001,      91,  0
3213914223,      12693920,      20001,      92,  0
3250393572,      12693920,      20001,      93,  0
3276290241,      12693920,      20001,      94,  0
3314926331,      12693920,      20001,      95,  0
3361543981,      12693920,      20001,      96,  0
3374878845,      12693920,      20001,      97,  0
3425487749,      12693920,      20001,      98,  0
3477966986,      12693920,      20001,      99,  0
3535406148,      12693920,      20001,      100,  0
3589291423,      12693920,      20001,      101,  0
3632128072,      12693920,      20001,      102,  0
3651468657,      12693920,      20001,      103,  0
3704680342,      12693920,      20001,      104,  0
3746714652,      12693920,      20001,      105,  0
3787803943,      12693920,      20001,      106,  0
3832216907,      12693920,      20001,      107,  0
3859257370,      12693920,      20001,      108,  0
3874402170,      12693920,      20001,      109,  0
3896531397,      12693920,      20001,      110,  0
3932070645,      12693920,      20001,      111,  0
3956834207,      12693920,      20001,      112,  0
4002118434,      12693920,      20001,      113,  0
4035826139,      12693920,      20001,      114,  0
4091624680,      12693920,      20001,      115,  0
4119019004,      12693920,      20001,      116,  0
4150999465,      12693920,      20001,      117,  0
4178795199,      12693920,      20001,      118,  0
4229404325,      12693920,      20001,      119,  0
4272642562,      12693920,      20001,      120,  0
4306838603,      12693920,      20001,      121,  0
4351654199,      12560800,      20001,      122,  0
4392518881,      12693920,      20001,      123,  0
4423540201,      12693920,      20001,      124,  0
4466706514,      12693920,      20001,      125,  0
4494603767,      12693920,      20001,      126,  0
4534741192,      12693920,      20001,      127,  0
4580560867,      12693920,      20001,      128,  0
4626834150,      12693920,      20001,      129,  0
4681406148,      12560800,      20001,      130,  0
4723733517,      12693920,      20001,      131,  0
4760289159,      12693920,      20001,      132,  0
4785146280,      13700624,      20001,      133,  0
4829782680,      14601268,      20001,      134,  0
4844887249,      12827040,      20001,      135,  0
4887072160,      16388971,      20001,      136,  0
4926331752,      12827040,      20001,      137,  0
4974289360,      12860803,      20001,      138,  0
5001336474,      12827040,      20001,      139,  0
5059005922,      12827040,      20001,      140,  0
5109341635,      12827040,      20001,      141,  0
5129814387,      12827040,      20001,      142,  0
5186281905,      12827040,      20001,      143,  0
5233696698,      12827040,      20001,      144,  0
5251036506,      12827040,      20001,      145,  0
5280649134,      12827040,      20001,      146,  0
5336388489,      12827040,      20001,      147,  0
5388337256,      12827040,      20001,      148,  0
5462666219,      12827040,      20001,      150,  0
5516844737,      12827040,      20001,      151,  0
5551798021,      12827040,      20001,      152,  0
5571082016,      12827040,      20001,      153,  0
5623155145,      12827040,      20001,      154,  0
5656497440,      12827040,      20001,      155,  0
5691349503,      12827040,      20001,      156,  0
5711325663,      12693920,      20001,      157,  0
5756996812,      12693920,      20001,      158,  0
5796854056,      12693920,      20001,      159,  0
5847691657,      12693920,      20001,      160,  0
5867697511,      12693920,      20001,      161,  0
5902668621,      12693920,      20001,      162,  0
5902801741,      478531878,      20001,      149,  1
5920807121,      12693920,      20001,      163,  0
5947662104,      12693920,      20001,      164,  0
6052563100,      12693920,      20001,      166,  0
6087419696,      12693920,      20001,      167,  0
6117522660,      12693920,      20001,      168,  0
6157516547,      12560800,      20001,      169,  0
6176262011,      12560800,      20001,      170,  0
6193130122,      12710240,      20001,      171,  0
6221781114,      12693920,      20001,      172,  0
6248943459,      12693920,      20001,      173,  0
6280721330,      12827040,      20001,      174,  0
6319665734,      12827040,      20001,      175,  0
6362122376,      12827040,      20001,      176,  0
6396574959,      12827040,      20001,      177,  0
6449510428,      12827040,      20001,      178,  0
6485378059,      12827040,      20001,      179,  0
6500774207,      511681620,      20001,      165,  1
6522974170,      12693920,      20001,      180,  0
6573428922,      12693920,      20001,      181,  0
6596523878,      12693920,      20001,      182,  0
6642279580,      12693920,      20001,      183,  0
6699838400,      12560800,      20001,      184,  0
6753585535,      12693920,      20001,      185,  0
6784324427,      12560800,      20001,      186,  0
6832732481,      12693920,      20001,      187,  0
6858133120,      12693920,      20001,      188,  0
6910250906,      12693920,      20001,      189,  0
6924227776,      12693920,      20001,      190,  0
6981995519,      12693920,      20001,      191,  0
7003527968,      12693920,      20001,      192,  0
7055629234,      12693920,      20001,      193,  0
7071960644,      12693920,      20001,      194,  0
7097739016,      12693920,      20001,      195,  0
7161173295,      12560800,      20001,      197,  0
7194237768,      12560800,      20001,      198,  0
7238251579,      12560800,      20001,      199,  0
7255496458,      12560800,      20001,      200,  0
7294210278,      12560800,      20001,      201,  0
7333690792,      12560800,      20001,      202,  0
7359587008,      12560800,      20001,      203,  0
7393799283,      12827040,      20001,      204,  0
7433965827,      12827040,      20001,      205,  0
7474562020,      12827040,      20001,      206,  0
7497158438,      12827040,      20001,      207,  0
