node->getNodeTime(),      generateToRecv_Delay,      sendToRecv_Delay,      ccnMsg->msg_chunk_num
837837168,      9686840,      20002,      23,  0
852776134,      9686840,      20002,      24,  0
889030636,      9686840,      20002,      25,  0
909690866,      9686840,      20002,      26,  0
962962533,      9686840,      20002,      27,  0
977640617,      9686840,      20002,      28,  0
1010704442,      9686840,      20002,      29,  0
1033516881,      9686840,      20002,      30,  0
1087348042,      9686840,      20002,      31,  0
1111486665,      9686840,      20002,      32,  0
1142274920,      11265426,      20002,      33,  0
1176321986,      9686840,      20002,      34,  0
1213391920,      10240122,      20002,      35,  0
1245885240,      10607014,      20002,      36,  0
1300749120,      10303461,      20002,      37,  0
1325094686,      9686840,      20002,      38,  0
1366674496,      9686840,      20002,      39,  0
1410491380,      9686840,      20002,      40,  0
1445977920,      12931697,      20002,      41,  0
1493852840,      10386342,      20002,      42,  0
1515530730,      9686840,      20002,      43,  0
1543579557,      9686840,      20002,      44,  0
1599945753,      9686840,      20002,      45,  0
1642334997,      9686840,      20002,      46,  0
1674551236,      9686840,      20002,      47,  0
1704846197,      9686840,      20002,      48,  0
1748492886,      9686840,      20002,      49,  0
1782714849,      9686840,      20002,      50,  0
1857369314,      9686840,      20002,      52,  0
1899000599,      9686840,      20002,      53,  0
1939628146,      9686840,      20002,      54,  0
1988030164,      9686840,      20002,      55,  0
2020595572,      9686840,      20002,      56,  0
2041037118,      9686840,      20002,      57,  0
2078714170,      9686840,      20002,      58,  0
2098318213,      9686840,      20002,      59,  0
2114824453,      9692923,      20002,      60,  0
2149645516,      9686840,      20002,      61,  0
2207333113,      9686840,      20002,      62,  0
2250990384,      9686840,      20002,      63,  0
2297699679,      9686840,      20002,      64,  0
2323122851,      9686840,      20002,      65,  0
2362110153,      9686840,      20002,      66,  0
2398451991,      9686840,      20002,      68,  0
2417798833,      9686840,      20002,      69,  0
2432960865,      9686840,      20002,      70,  0
2447095032,      9686840,      20002,      71,  0
2467007593,      9686840,      20002,      72,  0
2515960717,      9686840,      20002,      73,  0
2558315370,      9686840,      20002,      74,  0
2599870863,      9686840,      20002,      75,  0
2615918270,      9686840,      20002,      76,  0
2651902484,      9686840,      20002,      77,  0
2666848510,      9686840,      20002,      78,  0
2700086074,      9686840,      20002,      79,  0
2738551520,      9686840,      20002,      80,  0
2752658101,      9686840,      20002,      81,  0
2806170440,      977066641,      20002,      51,  1
2811057800,      9686840,      20002,      82,  0
2864316527,      9686840,      20002,      83,  0
2922613696,      9686840,      20002,      84,  0
2974965318,      9686840,      20002,      85,  0
2975298973,      604076009,      20002,      67,  1
3026266390,      9686840,      20002,      87,  0
3045567893,      9686840,      20002,      88,  0
3099904499,      9686840,      20002,      89,  0
3128361434,      9686840,      20002,      90,  0
3167112403,      9686840,      20002,      91,  0
3210907143,      9686840,      20002,      92,  0
3247386492,      9686840,      20002,      93,  0
3273283161,      9686840,      20002,      94,  0
3311919251,      9686840,      20002,      95,  0
3358536901,      9686840,      20002,      96,  0
3371871765,      9686840,      20002,      97,  0
3422480669,      9686840,      20002,      98,  0
3474959906,      9686840,      20002,      99,  0
3532399068,      9686840,      20002,      100,  0
3586284343,      9686840,      20002,      101,  0
3629120992,      9686840,      20002,      102,  0
3648461577,      9686840,      20002,      103,  0
3654671437,      677518529,      20002,      86,  1
3701673262,      9686840,      20002,      104,  0
3743707572,      9686840,      20002,      105,  0
3784796863,      9686840,      20002,      106,  0
3829209827,      9686840,      20002,      107,  0
3856250290,      9686840,      20002,      108,  0
3871395090,      9686840,      20002,      109,  0
3893524317,      9686840,      20002,      110,  0
3929063565,      9686840,      20002,      111,  0
3953827127,      9686840,      20002,      112,  0
3999111354,      9686840,      20002,      113,  0
4032819059,      9686840,      20002,      114,  0
4088617600,      9686840,      20002,      115,  0
4116011924,      9686840,      20002,      116,  0
4147992385,      9686840,      20002,      117,  0
4175788119,      9686840,      20002,      118,  0
4226397245,      9686840,      20002,      119,  0
4269635482,      9686840,      20002,      120,  0
4303831523,      9686840,      20002,      121,  0
4348780239,      9686840,      20002,      122,  0
4389511801,      9686840,      20002,      123,  0
4420533121,      9686840,      20002,      124,  0
4463699434,      9686840,      20002,      125,  0
4491596687,      9686840,      20002,      126,  0
4531734112,      9686840,      20002,      127,  0
4577553787,      9686840,      20002,      128,  0
4623827070,      9686840,      20002,      129,  0
4678532188,      9686840,      20002,      130,  0
4723170800,      12131203,      20002,      131,  0
4757282079,      9686840,      20002,      132,  0
4781132496,      9686840,      20002,      133,  0
4824903680,      9722268,      20002,      134,  0
4842058640,      9998431,      20002,      135,  0
4880370029,      9686840,      20002,      136,  0
4923304880,      9800168,      20002,      137,  0
4971136120,      9707563,      20002,      138,  0
4998196274,      9686840,      20002,      139,  0
5055865722,      9686840,      20002,      140,  0
5106201435,      9686840,      20002,      141,  0
5126674187,      9686840,      20002,      142,  0
5183141705,      9686840,      20002,      143,  0
5230556498,      9686840,      20002,      144,  0
5247896306,      9686840,      20002,      145,  0
5277508934,      9686840,      20002,      146,  0
5333248289,      9686840,      20002,      147,  0
5385197056,      9686840,      20002,      148,  0
5433956703,      9686840,      20002,      149,  0
5459526019,      9686840,      20002,      150,  0
5548657821,      9686840,      20002,      152,  0
5567941816,      9686840,      20002,      153,  0
