node->getNodeTime(),      generateToRecv_Delay,      sendToRecv_Delay,      ccnMsg->msg_chunk_num
843111128,      14960800,      20002,      23,  0
858050094,      14960800,      20002,      24,  0
894304596,      14960800,      20002,      25,  0
914964826,      14960800,      20002,      26,  0
968236493,      14960800,      20002,      27,  0
982920337,      14966560,      20002,      28,  0
1015978402,      14960800,      20002,      29,  0
1038790841,      14960800,      20002,      30,  0
1092622002,      14960800,      20002,      31,  0
1116760625,      14960800,      20002,      32,  0
1145970294,      14960800,      20002,      33,  0
1181595946,      14960800,      20002,      34,  0
1222127000,      18975202,      20002,      35,  0
1250239026,      14960800,      20002,      36,  0
1306578466,      16132807,      20002,      37,  0
1330368646,      14960800,      20002,      38,  0
1371948456,      14960800,      20002,      39,  0
1415765340,      14960800,      20002,      40,  0
1450192680,      17146457,      20002,      41,  0
1500857360,      17390862,      20002,      42,  0
1520804690,      14960800,      20002,      43,  0
1605219713,      14960800,      20002,      45,  0
1647608957,      14960800,      20002,      46,  0
1679825196,      14960800,      20002,      47,  0
1710120157,      14960800,      20002,      48,  0
1753766846,      14960800,      20002,      49,  0
1787988809,      14960800,      20002,      50,  0
1844064599,      14960800,      20002,      51,  0
1862643274,      14960800,      20002,      52,  0
1904274559,      14960800,      20002,      53,  0
1944902106,      14960800,      20002,      54,  0
1993304124,      14960800,      20002,      55,  0
2025869532,      14960800,      20002,      56,  0
2046311078,      14960800,      20002,      57,  0
2083988130,      14960800,      20002,      58,  0
2103608493,      14977120,      20002,      59,  0
2120098413,      14966883,      20002,      60,  0
2154919476,      14960800,      20002,      61,  0
2212607073,      14960800,      20002,      62,  0
2256264344,      14960800,      20002,      63,  0
2302973639,      14960800,      20002,      64,  0
2328396811,      14960800,      20002,      65,  0
2367384113,      14960800,      20002,      66,  0
2386183764,      14960800,      20002,      67,  0
2423072793,      14960800,      20002,      69,  0
2438234825,      14960800,      20002,      70,  0
2452368992,      14960800,      20002,      71,  0
2472281553,      14960800,      20002,      72,  0
2521234677,      14960800,      20002,      73,  0
2563589330,      14960800,      20002,      74,  0
2605144823,      14960800,      20002,      75,  0
2621186470,      14955040,      20002,      76,  0
2657176444,      14960800,      20002,      77,  0
2672122470,      14960800,      20002,      78,  0
2705360034,      14960800,      20002,      79,  0
2743825480,      14960800,      20002,      80,  0
2757932061,      14960800,      20002,      81,  0
2815470200,      1281577483,      20002,      44,  1
2816331760,      14960800,      20002,      82,  0
2869590487,      14960800,      20002,      83,  0
2927887656,      14960800,      20002,      84,  0
2980239278,      14960800,      20002,      85,  0
2992113708,      14960800,      20002,      86,  0
3031540350,      14960800,      20002,      87,  0
3050841853,      14960800,      20002,      88,  0
3105178459,      14960800,      20002,      89,  0
3133635394,      14960800,      20002,      90,  0
3172386363,      14960800,      20002,      91,  0
3216181103,      14960800,      20002,      92,  0
3252660452,      14960800,      20002,      93,  0
3278557121,      14960800,      20002,      94,  0
3317193211,      14960800,      20002,      95,  0
3363810861,      14960800,      20002,      96,  0
3377145725,      14960800,      20002,      97,  0
3427754629,      14960800,      20002,      98,  0
3480233866,      14960800,      20002,      99,  0
3537673028,      14960800,      20002,      100,  0
3591558303,      14960800,      20002,      101,  0
3634394952,      14960800,      20002,      102,  0
3706947222,      14960800,      20002,      104,  0
3748981532,      14960800,      20002,      105,  0
3790070823,      14960800,      20002,      106,  0
3834483787,      14960800,      20002,      107,  0
3861524250,      14960800,      20002,      108,  0
3876669050,      14960800,      20002,      109,  0
3898798277,      14960800,      20002,      110,  0
3934337525,      14960800,      20002,      111,  0
3959101087,      14960800,      20002,      112,  0
4004385314,      14960800,      20002,      113,  0
4038093019,      14960800,      20002,      114,  0
4093891560,      14960800,      20002,      115,  0
4121285884,      14960800,      20002,      116,  0
4153266345,      14960800,      20002,      117,  0
4181062079,      14960800,      20002,      118,  0
4231671205,      14960800,      20002,      119,  0
4274909442,      14960800,      20002,      120,  0
4309105483,      14960800,      20002,      121,  0
4318443839,      679669102,      20002,      103,  1
4354054199,      14960800,      20002,      122,  0
4394785761,      14960800,      20002,      123,  0
4425807081,      14960800,      20002,      124,  0
4468973394,      14960800,      20002,      125,  0
4496870647,      14960800,      20002,      126,  0
4537008072,      14960800,      20002,      127,  0
