node->getNodeTime(),      generateToRecv_Delay,      sendToRecv_Delay,      ccnMsg->msg_chunk_num
842844888,      14694560,      20000,      23,  0
857783854,      14694560,      20000,      24,  0
894038356,      14694560,      20000,      25,  0
914698586,      14694560,      20000,      26,  0
967970253,      14694560,      20000,      27,  0
982648337,      14694560,      20000,      28,  0
1015712162,      14694560,      20000,      29,  0
1092355762,      14694560,      20000,      31,  0
1116494385,      14694560,      20000,      32,  0
1145704054,      14694560,      20000,      33,  0
1181329706,      14694560,      20000,      34,  0
1221328280,      18176482,      20000,      35,  0
1249972786,      14694560,      20000,      36,  0
1305188946,      14743287,      20000,      37,  0
1330102406,      14694560,      20000,      38,  0
1372091040,      15103384,      20000,      39,  0
1415499100,      14694560,      20000,      40,  0
1447740783,      14694560,      20000,      41,  0
1499398480,      15931982,      20000,      42,  0
1520538450,      14694560,      20000,      43,  0
1548587277,      14694560,      20000,      44,  0
1647342717,      14694560,      20000,      46,  0
1679558956,      14694560,      20000,      47,  0
1709853917,      14694560,      20000,      48,  0
1753500606,      14694560,      20000,      49,  0
1787722569,      14694560,      20000,      50,  0
1843798359,      14694560,      20000,      51,  0
1862377034,      14694560,      20000,      52,  0
1904008319,      14694560,      20000,      53,  0
1944635866,      14694560,      20000,      54,  0
1993037884,      14694560,      20000,      55,  0
2025603292,      14694560,      20000,      56,  0
2046044838,      14694560,      20000,      57,  0
2103325933,      14694560,      20000,      59,  0
2119832173,      14700643,      20000,      60,  0
2154653236,      14694560,      20000,      61,  0
2212340833,      14694560,      20000,      62,  0
2255998104,      14694560,      20000,      63,  0
2302707399,      14694560,      20000,      64,  0
2328130571,      14694560,      20000,      65,  0
2367117873,      14694560,      20000,      66,  0
2385917524,      14694560,      20000,      67,  0
2403459711,      14694560,      20000,      68,  0
2422806553,      14694560,      20000,      69,  0
2437968585,      14694560,      20000,      70,  0
2452102752,      14694560,      20000,      71,  0
2472015313,      14694560,      20000,      72,  0
2520968437,      14694560,      20000,      73,  0
2563323090,      14694560,      20000,      74,  0
2604878583,      14694560,      20000,      75,  0
2620925990,      14694560,      20000,      76,  0
2656910204,      14694560,      20000,      77,  0
2671856230,      14694560,      20000,      78,  0
2705093794,      14694560,      20000,      79,  0
2743559240,      14694560,      20000,      80,  0
2757665821,      14694560,      20000,      81,  0
2806170440,      1782340399,      20000,      30,  1
2806303560,      1216044647,      20000,      45,  1
2806436680,      737409350,      20000,      58,  1
2816198640,      14827680,      20000,      82,  0
2869318487,      14688800,      20000,      83,  0
2927621416,      14694560,      20000,      84,  0
2979973038,      14694560,      20000,      85,  0
2991847468,      14694560,      20000,      86,  0
3031274110,      14694560,      20000,      87,  0
3050575613,      14694560,      20000,      88,  0
3104912219,      14694560,      20000,      89,  0
3133369154,      14694560,      20000,      90,  0
3172120123,      14694560,      20000,      91,  0
3215914863,      14694560,      20000,      92,  0
3252394212,      14694560,      20000,      93,  0
3278290881,      14694560,      20000,      94,  0
3316926971,      14694560,      20000,      95,  0
3363544621,      14694560,      20000,      96,  0
3376879485,      14694560,      20000,      97,  0
3427488389,      14694560,      20000,      98,  0
3479967626,      14694560,      20000,      99,  0
3537406788,      14694560,      20000,      100,  0
3591292063,      14694560,      20000,      101,  0
3634128712,      14694560,      20000,      102,  0
3653469297,      14694560,      20000,      103,  0
3706680982,      14694560,      20000,      104,  0
3748715292,      14694560,      20000,      105,  0
3789804583,      14694560,      20000,      106,  0
3834217547,      14694560,      20000,      107,  0
3861258010,      14694560,      20000,      108,  0
3876397050,      14688800,      20000,      109,  0
3898532037,      14694560,      20000,      110,  0
3934071285,      14694560,      20000,      111,  0
3958834847,      14694560,      20000,      112,  0
4004119074,      14694560,      20000,      113,  0
4037826779,      14694560,      20000,      114,  0
4093625320,      14694560,      20000,      115,  0
4121019644,      14694560,      20000,      116,  0
4153000105,      14694560,      20000,      117,  0
4180795839,      14694560,      20000,      118,  0
4231404965,      14694560,      20000,      119,  0
4274643202,      14694560,      20000,      120,  0
4308839243,      14694560,      20000,      121,  0
4353921079,      14827680,      20000,      122,  0
4394519521,      14694560,      20000,      123,  0
4425540841,      14694560,      20000,      124,  0
4468707154,      14694560,      20000,      125,  0
4496604407,      14694560,      20000,      126,  0
4536741832,      14694560,      20000,      127,  0
4628834790,      14694560,      20000,      129,  0
4684517840,      15672492,      20000,      130,  0
4725734157,      14694560,      20000,      131,  0
4762289799,      14694560,      20000,      132,  0
4788617880,      17172224,      20000,      133,  0
4829955560,      14774148,      20000,      134,  0
4889152800,      18469611,      20000,      136,  0
4976143840,      14715283,      20000,      138,  0
5003607760,      15098326,      20000,      139,  0
5060873442,      14694560,      20000,      140,  0
5111209155,      14694560,      20000,      141,  0
5131681907,      14694560,      20000,      142,  0
5178290563,      610423616,      20000,      128,  1
5188149425,      14694560,      20000,      143,  0
5235564218,      14694560,      20000,      144,  0
5252904026,      14694560,      20000,      145,  0
5282516654,      14694560,      20000,      146,  0
5338256009,      14694560,      20000,      147,  0
5390204776,      14694560,      20000,      148,  0
5433658829,      601598620,      20000,      135,  1
5438964423,      14694560,      20000,      149,  0
5464533739,      14694560,      20000,      150,  0
5518712257,      14694560,      20000,      151,  0
5543577228,      630072516,      20000,      137,  1
5553665541,      14694560,      20000,      152,  0
5572949536,      14694560,      20000,      153,  0
5625022665,      14694560,      20000,      154,  0
5658364960,      14694560,      20000,      155,  0
5693217023,      14694560,      20000,      156,  0
5713326303,      14694560,      20000,      157,  0
5758997452,      14694560,      20000,      158,  0
5798854696,      14694560,      20000,      159,  0
5849692297,      14694560,      20000,      160,  0
5869698151,      14694560,      20000,      161,  0
5904669261,      14694560,      20000,      162,  0
5922807761,      14694560,      20000,      163,  0
5949662744,      14694560,      20000,      164,  0
6003787147,      14694560,      20000,      165,  0
6054563740,      14694560,      20000,      166,  0
6089420336,      14694560,      20000,      167,  0
6119523300,      14694560,      20000,      168,  0
6159650307,      14694560,      20000,      169,  0
6178395771,      14694560,      20000,      170,  0
6195114442,      14694560,      20000,      171,  0
6223781754,      14694560,      20000,      172,  0
6250944099,      14694560,      20000,      173,  0
6282588850,      14694560,      20000,      174,  0
